station,train_year,seed,method,policy_name,run_status,episode_completed,episode_length,final_grnwt,total_irrigation,total_n_fertilizer,daily_csv_path
LCA,2010,1,MS0_augmented_RF_prior_replay,null_zero,ok,True,92,2774.4976806640625,0.0,0.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/smoke/LCA_2010_MS0_augmented_RF_prior_replay_seed1_null_zero_smoke_daily.csv
LCA,2010,1,MS0_augmented_RF_prior_replay,prior_replay,ok,True,92,5902.408447265625,0.0,71.40655517578125,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/smoke/LCA_2010_MS0_augmented_RF_prior_replay_seed1_prior_replay_smoke_daily.csv
LCA,2010,1,MS0_augmented_RF_prior_replay,fixed_low_input,ok,True,92,5727.384643554688,0.0,50.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/smoke/LCA_2010_MS0_augmented_RF_prior_replay_seed1_fixed_low_input_smoke_daily.csv
LCA,2010,2,MS0_augmented_RF_prior_replay,null_zero,ok,True,92,2774.4976806640625,0.0,0.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/smoke/LCA_2010_MS0_augmented_RF_prior_replay_seed2_null_zero_smoke_daily.csv
LCA,2010,2,MS0_augmented_RF_prior_replay,prior_replay,ok,True,92,5902.408447265625,0.0,71.40655517578125,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/smoke/LCA_2010_MS0_augmented_RF_prior_replay_seed2_prior_replay_smoke_daily.csv
LCA,2010,2,MS0_augmented_RF_prior_replay,fixed_low_input,ok,True,92,5727.384643554688,0.0,50.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/smoke/LCA_2010_MS0_augmented_RF_prior_replay_seed2_fixed_low_input_smoke_daily.csv
HLA,2011,0,MS1_residual_augmented_RF_prior_strict,null_zero,ok,True,164,197.71472930908203,0.0,0.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/HLA/smoke/HLA_2011_MS1_residual_augmented_RF_prior_strict_seed0_null_zero_smoke_daily.csv
HLA,2011,0,MS1_residual_augmented_RF_prior_strict,prior_replay,ok,True,169,5079.18701171875,0.0,69.03663277626038,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/HLA/smoke/HLA_2011_MS1_residual_augmented_RF_prior_strict_seed0_prior_replay_smoke_daily.csv
HLA,2011,0,MS1_residual_augmented_RF_prior_strict,fixed_low_input,ok,True,169,1828.819122314453,0.0,50.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/HLA/smoke/HLA_2011_MS1_residual_augmented_RF_prior_strict_seed0_fixed_low_input_smoke_daily.csv
HLA,2011,1,MS1_residual_augmented_RF_prior_strict,null_zero,ok,True,164,197.71472930908203,0.0,0.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/HLA/smoke/HLA_2011_MS1_residual_augmented_RF_prior_strict_seed1_null_zero_smoke_daily.csv
HLA,2011,1,MS1_residual_augmented_RF_prior_strict,prior_replay,ok,True,169,5079.18701171875,0.0,69.03663277626038,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/HLA/smoke/HLA_2011_MS1_residual_augmented_RF_prior_strict_seed1_prior_replay_smoke_daily.csv
HLA,2011,1,MS1_residual_augmented_RF_prior_strict,fixed_low_input,ok,True,169,1828.819122314453,0.0,50.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/HLA/smoke/HLA_2011_MS1_residual_augmented_RF_prior_strict_seed1_fixed_low_input_smoke_daily.csv
HLA,2011,2,MS1_residual_augmented_RF_prior_strict,null_zero,ok,True,164,197.71472930908203,0.0,0.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/HLA/smoke/HLA_2011_MS1_residual_augmented_RF_prior_strict_seed2_null_zero_smoke_daily.csv
HLA,2011,2,MS1_residual_augmented_RF_prior_strict,prior_replay,ok,True,169,5079.18701171875,0.0,69.03663277626038,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/HLA/smoke/HLA_2011_MS1_residual_augmented_RF_prior_strict_seed2_prior_replay_smoke_daily.csv
HLA,2011,2,MS1_residual_augmented_RF_prior_strict,fixed_low_input,ok,True,169,1828.819122314453,0.0,50.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/HLA/smoke/HLA_2011_MS1_residual_augmented_RF_prior_strict_seed2_fixed_low_input_smoke_daily.csv
SYA,2012,0,MS1_residual_augmented_RF_prior_strict,null_zero,ok,True,135,2693.109436035156,0.0,0.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/SYA/smoke/SYA_2012_MS1_residual_augmented_RF_prior_strict_seed0_null_zero_smoke_daily.csv
SYA,2012,0,MS1_residual_augmented_RF_prior_strict,prior_replay,ok,True,135,8010.47607421875,0.0,108.51833522319794,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/SYA/smoke/SYA_2012_MS1_residual_augmented_RF_prior_strict_seed0_prior_replay_smoke_daily.csv
SYA,2012,0,MS1_residual_augmented_RF_prior_strict,fixed_low_input,ok,True,135,5584.996948242188,0.0,50.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/SYA/smoke/SYA_2012_MS1_residual_augmented_RF_prior_strict_seed0_fixed_low_input_smoke_daily.csv
SYA,2012,1,MS1_residual_augmented_RF_prior_strict,null_zero,ok,True,135,2693.109436035156,0.0,0.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/SYA/smoke/SYA_2012_MS1_residual_augmented_RF_prior_strict_seed1_null_zero_smoke_daily.csv
SYA,2012,1,MS1_residual_augmented_RF_prior_strict,prior_replay,ok,True,135,8010.47607421875,0.0,108.51833522319794,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/SYA/smoke/SYA_2012_MS1_residual_augmented_RF_prior_strict_seed1_prior_replay_smoke_daily.csv
SYA,2012,1,MS1_residual_augmented_RF_prior_strict,fixed_low_input,ok,True,135,5584.996948242188,0.0,50.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/SYA/smoke/SYA_2012_MS1_residual_augmented_RF_prior_strict_seed1_fixed_low_input_smoke_daily.csv
SYA,2012,2,MS1_residual_augmented_RF_prior_strict,null_zero,ok,True,135,2693.109436035156,0.0,0.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/SYA/smoke/SYA_2012_MS1_residual_augmented_RF_prior_strict_seed2_null_zero_smoke_daily.csv
SYA,2012,2,MS1_residual_augmented_RF_prior_strict,prior_replay,ok,True,135,8010.47607421875,0.0,108.51833522319794,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/SYA/smoke/SYA_2012_MS1_residual_augmented_RF_prior_strict_seed2_prior_replay_smoke_daily.csv
SYA,2012,2,MS1_residual_augmented_RF_prior_strict,fixed_low_input,ok,True,135,5584.996948242188,0.0,50.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/SYA/smoke/SYA_2012_MS1_residual_augmented_RF_prior_strict_seed2_fixed_low_input_smoke_daily.csv
LCA,2010,0,MS1_residual_augmented_RF_prior_strict,null_zero,ok,True,92,2774.4976806640625,0.0,0.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/smoke/LCA_2010_MS1_residual_augmented_RF_prior_strict_seed0_null_zero_smoke_daily.csv
LCA,2010,0,MS1_residual_augmented_RF_prior_strict,prior_replay,ok,True,92,5902.408447265625,0.0,71.40655517578125,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/smoke/LCA_2010_MS1_residual_augmented_RF_prior_strict_seed0_prior_replay_smoke_daily.csv
LCA,2010,0,MS1_residual_augmented_RF_prior_strict,fixed_low_input,ok,True,92,5727.384643554688,0.0,50.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/smoke/LCA_2010_MS1_residual_augmented_RF_prior_strict_seed0_fixed_low_input_smoke_daily.csv
LCA,2010,1,MS1_residual_augmented_RF_prior_strict,null_zero,ok,True,92,2774.4976806640625,0.0,0.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/smoke/LCA_2010_MS1_residual_augmented_RF_prior_strict_seed1_null_zero_smoke_daily.csv
LCA,2010,1,MS1_residual_augmented_RF_prior_strict,prior_replay,ok,True,92,5902.408447265625,0.0,71.40655517578125,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/smoke/LCA_2010_MS1_residual_augmented_RF_prior_strict_seed1_prior_replay_smoke_daily.csv
LCA,2010,1,MS1_residual_augmented_RF_prior_strict,fixed_low_input,ok,True,92,5727.384643554688,0.0,50.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/smoke/LCA_2010_MS1_residual_augmented_RF_prior_strict_seed1_fixed_low_input_smoke_daily.csv
LCA,2010,2,MS1_residual_augmented_RF_prior_strict,null_zero,ok,True,92,2774.4976806640625,0.0,0.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/smoke/LCA_2010_MS1_residual_augmented_RF_prior_strict_seed2_null_zero_smoke_daily.csv
LCA,2010,2,MS1_residual_augmented_RF_prior_strict,prior_replay,ok,True,92,5902.408447265625,0.0,71.40655517578125,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/smoke/LCA_2010_MS1_residual_augmented_RF_prior_strict_seed2_prior_replay_smoke_daily.csv
LCA,2010,2,MS1_residual_augmented_RF_prior_strict,fixed_low_input,ok,True,92,5727.384643554688,0.0,50.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/smoke/LCA_2010_MS1_residual_augmented_RF_prior_strict_seed2_fixed_low_input_smoke_daily.csv
HLA,2011,0,MS2_guardrail_augmented_RF_100_200,null_zero,ok,True,164,197.71472930908203,0.0,0.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/HLA/smoke/HLA_2011_MS2_guardrail_augmented_RF_100_200_seed0_null_zero_smoke_daily.csv
HLA,2011,0,MS2_guardrail_augmented_RF_100_200,prior_replay,ok,True,169,5079.18701171875,0.0,69.03663277626038,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/HLA/smoke/HLA_2011_MS2_guardrail_augmented_RF_100_200_seed0_prior_replay_smoke_daily.csv
HLA,2011,0,MS2_guardrail_augmented_RF_100_200,fixed_low_input,ok,True,169,1828.819122314453,0.0,50.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/HLA/smoke/HLA_2011_MS2_guardrail_augmented_RF_100_200_seed0_fixed_low_input_smoke_daily.csv
HLA,2011,1,MS2_guardrail_augmented_RF_100_200,null_zero,ok,True,164,197.71472930908203,0.0,0.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/HLA/smoke/HLA_2011_MS2_guardrail_augmented_RF_100_200_seed1_null_zero_smoke_daily.csv
HLA,2011,1,MS2_guardrail_augmented_RF_100_200,prior_replay,ok,True,169,5079.18701171875,0.0,69.03663277626038,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/HLA/smoke/HLA_2011_MS2_guardrail_augmented_RF_100_200_seed1_prior_replay_smoke_daily.csv
HLA,2011,1,MS2_guardrail_augmented_RF_100_200,fixed_low_input,ok,True,169,1828.819122314453,0.0,50.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/HLA/smoke/HLA_2011_MS2_guardrail_augmented_RF_100_200_seed1_fixed_low_input_smoke_daily.csv
HLA,2011,2,MS2_guardrail_augmented_RF_100_200,null_zero,ok,True,164,197.71472930908203,0.0,0.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/HLA/smoke/HLA_2011_MS2_guardrail_augmented_RF_100_200_seed2_null_zero_smoke_daily.csv
HLA,2011,2,MS2_guardrail_augmented_RF_100_200,prior_replay,ok,True,169,5079.18701171875,0.0,69.03663277626038,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/HLA/smoke/HLA_2011_MS2_guardrail_augmented_RF_100_200_seed2_prior_replay_smoke_daily.csv
HLA,2011,2,MS2_guardrail_augmented_RF_100_200,fixed_low_input,ok,True,169,1828.819122314453,0.0,50.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/HLA/smoke/HLA_2011_MS2_guardrail_augmented_RF_100_200_seed2_fixed_low_input_smoke_daily.csv
SYA,2012,0,MS2_guardrail_augmented_RF_100_200,null_zero,ok,True,135,2693.109436035156,0.0,0.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/SYA/smoke/SYA_2012_MS2_guardrail_augmented_RF_100_200_seed0_null_zero_smoke_daily.csv
SYA,2012,0,MS2_guardrail_augmented_RF_100_200,prior_replay,ok,True,135,8010.47607421875,0.0,108.51833522319794,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/SYA/smoke/SYA_2012_MS2_guardrail_augmented_RF_100_200_seed0_prior_replay_smoke_daily.csv
SYA,2012,0,MS2_guardrail_augmented_RF_100_200,fixed_low_input,ok,True,135,5584.996948242188,0.0,50.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/SYA/smoke/SYA_2012_MS2_guardrail_augmented_RF_100_200_seed0_fixed_low_input_smoke_daily.csv
SYA,2012,1,MS2_guardrail_augmented_RF_100_200,null_zero,ok,True,135,2693.109436035156,0.0,0.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/SYA/smoke/SYA_2012_MS2_guardrail_augmented_RF_100_200_seed1_null_zero_smoke_daily.csv
SYA,2012,1,MS2_guardrail_augmented_RF_100_200,prior_replay,ok,True,135,8010.47607421875,0.0,108.51833522319794,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/SYA/smoke/SYA_2012_MS2_guardrail_augmented_RF_100_200_seed1_prior_replay_smoke_daily.csv
SYA,2012,1,MS2_guardrail_augmented_RF_100_200,fixed_low_input,ok,True,135,5584.996948242188,0.0,50.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/SYA/smoke/SYA_2012_MS2_guardrail_augmented_RF_100_200_seed1_fixed_low_input_smoke_daily.csv
SYA,2012,2,MS2_guardrail_augmented_RF_100_200,null_zero,ok,True,135,2693.109436035156,0.0,0.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/SYA/smoke/SYA_2012_MS2_guardrail_augmented_RF_100_200_seed2_null_zero_smoke_daily.csv
SYA,2012,2,MS2_guardrail_augmented_RF_100_200,prior_replay,ok,True,135,8010.47607421875,0.0,108.51833522319794,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/SYA/smoke/SYA_2012_MS2_guardrail_augmented_RF_100_200_seed2_prior_replay_smoke_daily.csv
SYA,2012,2,MS2_guardrail_augmented_RF_100_200,fixed_low_input,ok,True,135,5584.996948242188,0.0,50.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/SYA/smoke/SYA_2012_MS2_guardrail_augmented_RF_100_200_seed2_fixed_low_input_smoke_daily.csv
LCA,2010,0,MS2_guardrail_augmented_RF_100_200,null_zero,ok,True,92,2774.4976806640625,0.0,0.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/smoke/LCA_2010_MS2_guardrail_augmented_RF_100_200_seed0_null_zero_smoke_daily.csv
LCA,2010,0,MS2_guardrail_augmented_RF_100_200,prior_replay,ok,True,92,5902.408447265625,0.0,71.40655517578125,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/smoke/LCA_2010_MS2_guardrail_augmented_RF_100_200_seed0_prior_replay_smoke_daily.csv
LCA,2010,0,MS2_guardrail_augmented_RF_100_200,fixed_low_input,ok,True,92,5727.384643554688,0.0,50.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/smoke/LCA_2010_MS2_guardrail_augmented_RF_100_200_seed0_fixed_low_input_smoke_daily.csv
LCA,2010,1,MS2_guardrail_augmented_RF_100_200,null_zero,ok,True,92,2774.4976806640625,0.0,0.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/smoke/LCA_2010_MS2_guardrail_augmented_RF_100_200_seed1_null_zero_smoke_daily.csv
LCA,2010,1,MS2_guardrail_augmented_RF_100_200,prior_replay,ok,True,92,5902.408447265625,0.0,71.40655517578125,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/smoke/LCA_2010_MS2_guardrail_augmented_RF_100_200_seed1_prior_replay_smoke_daily.csv
LCA,2010,1,MS2_guardrail_augmented_RF_100_200,fixed_low_input,ok,True,92,5727.384643554688,0.0,50.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/smoke/LCA_2010_MS2_guardrail_augmented_RF_100_200_seed1_fixed_low_input_smoke_daily.csv
LCA,2010,2,MS2_guardrail_augmented_RF_100_200,null_zero,ok,True,92,2774.4976806640625,0.0,0.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/smoke/LCA_2010_MS2_guardrail_augmented_RF_100_200_seed2_null_zero_smoke_daily.csv
LCA,2010,2,MS2_guardrail_augmented_RF_100_200,prior_replay,ok,True,92,5902.408447265625,0.0,71.40655517578125,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/smoke/LCA_2010_MS2_guardrail_augmented_RF_100_200_seed2_prior_replay_smoke_daily.csv
LCA,2010,2,MS2_guardrail_augmented_RF_100_200,fixed_low_input,ok,True,92,5727.3846435546875,0.0,50.0,Leave_One_experiments/constrained_ppo_multiseed_augmented_prior/daily_outputs/LCA/smoke/LCA_2010_MS2_guardrail_augmented_RF_100_200_seed2_fixed_low_input_smoke_daily.csv
