station,year,policy_type,policy_name,final_grnwt,total_irrigation,total_n_fertilizer,profit_score,mean_swfac,mean_nstres,yield_loss_vs_ppo,input_reduction_vs_ppo,notes
HLA,2011,imitation_policy,BC_random_forest_regressor,4469.0631103515625,0.0,110.75605158730158,17.00161820669023,0.0,0.150367371429353,0.3500368561229986,0.8769377204585538,behavior_cloning_policy
HLA,2007,imitation_policy,BC_random_forest_regressor,4011.4019775390634,0.0,110.75605158730158,12.425006878565227,0.0,0.1401349110091292,0.4165973099291034,0.8769377204585538,behavior_cloning_policy
HLA,2009,imitation_policy,BC_random_forest_regressor,5367.515869140625,0.0,110.75605158730158,25.986145794580857,0.0,0.1951876061517487,0.219369383923984,0.8769377204585538,behavior_cloning_policy
SYA,2012,imitation_policy,BC_random_forest_regressor,6075.2435302734375,0.0,59.78878968253967,45.80523788209946,0.0,0.1291411302707813,0.1164402275705814,0.9335680114638448,behavior_cloning_policy
SYA,2014,imitation_policy,BC_random_forest_regressor,5991.3616943359375,0.0,59.78878968253967,44.96641952272447,0.0,0.1519659215377437,0.1286396752968462,0.9335680114638448,behavior_cloning_policy
SYA,2015,imitation_policy,BC_random_forest_regressor,5783.908081054688,0.0,59.78878968253967,42.89188338991195,0.0,0.1408746999043684,0.1588109213427133,0.9335680114638448,behavior_cloning_policy
LCA,2010,imitation_policy,BC_random_forest_regressor,6890.1751708984375,0.0,86.82827380952381,47.19468325660343,0.0004079555687697,0.0826307217711987,-0.0020802582911186,0.9035241402116402,behavior_cloning_policy
LCA,2011,imitation_policy,BC_random_forest_regressor,7292.776489257812,0.0,86.82827380952381,51.22069644019717,0.0,0.116333769232619,-0.0606330269919616,0.9035241402116402,behavior_cloning_policy
LCA,2008,imitation_policy,BC_random_forest_regressor,7809.2510986328125,0.0,86.82827380952381,56.38544253394717,0.0,0.111623279821305,-0.1357470839101719,0.9035241402116402,behavior_cloning_policy
LCA,2009,imitation_policy,BC_random_forest_regressor,7461.8292236328125,0.0,86.82827380952381,52.91122378394718,0.0,0.1051891399364845,-0.0852193986770853,0.9035241402116402,behavior_cloning_policy
HLA,2011,imitation_policy,BC_two_stage_classifier_regressor,5971.6778564453125,0.0,132.75,26.52927856445313,0.0,0.1403898970615228,0.1315024160644406,0.8525,behavior_cloning_policy
HLA,2007,imitation_policy,BC_two_stage_classifier_regressor,6252.432861328125,0.0,132.75,29.33682861328125,0.0,0.1061815013421461,0.090670500934363,0.8525,behavior_cloning_policy
HLA,2009,imitation_policy,BC_two_stage_classifier_regressor,7116.7626953125,0.0,132.75,37.98012695312501,0.0,0.2013745309796723,-0.0350342658973986,0.8525,behavior_cloning_policy
SYA,2012,imitation_policy,BC_two_stage_classifier_regressor,8687.786254882812,0.0,138.5,52.25286254882813,0.0,0.0595245273024947,-0.2635178175210032,0.8461111111111111,behavior_cloning_policy
SYA,2014,imitation_policy,BC_two_stage_classifier_regressor,8756.624145507812,0.0,138.5,52.94124145507813,0.045532124944859,0.0926568928278154,-0.2735293323964256,0.8461111111111111,behavior_cloning_policy
SYA,2015,imitation_policy,BC_two_stage_classifier_regressor,8692.003784179688,0.0,138.5,52.29503784179688,0.0,0.0818763025157101,-0.2641311985660908,0.8461111111111111,behavior_cloning_policy
LCA,2010,imitation_policy,BC_two_stage_classifier_regressor,8023.380737304687,0.0,180.5,35.10880737304687,0.0,0.0024334976206655,-0.1668892651038203,0.7994444444444444,behavior_cloning_policy
LCA,2011,imitation_policy,BC_two_stage_classifier_regressor,9126.643676757812,0.0,180.5,46.14143676757813,0.0,0.0012096026364494,-0.3273435327978661,0.7994444444444444,behavior_cloning_policy
LCA,2008,imitation_policy,BC_two_stage_classifier_regressor,9245.808715820312,0.0,180.5,47.33308715820313,0.0,0.0012083314713977,-0.3446744322541496,0.7994444444444444,behavior_cloning_policy
LCA,2009,imitation_policy,BC_two_stage_classifier_regressor,9045.416259765623,0.0,180.5,45.32916259765625,0.0,0.0002406812181659,-0.3155301334312376,0.7994444444444444,behavior_cloning_policy
HLA,2011,ppo_cap_saturated_baseline,reference_300mm_450kgN,6875.87158203125,300.0,450.0,-193.7412841796875,,,0.0,0.0,reference from Leave_One_experiments/budget_action_design_debug/evaluation/budget_action_design_candidate_comparison.csv; same yield reference used for cross-policy normalization
HLA,2007,ppo_cap_saturated_baseline,reference_300mm_450kgN,6875.87158203125,300.0,450.0,-193.7412841796875,,,0.0,0.0,reference from Leave_One_experiments/budget_action_design_debug/evaluation/budget_action_design_candidate_comparison.csv; same yield reference used for cross-policy normalization
HLA,2009,ppo_cap_saturated_baseline,reference_300mm_450kgN,6875.87158203125,300.0,450.0,-193.7412841796875,,,0.0,0.0,reference from Leave_One_experiments/budget_action_design_debug/evaluation/budget_action_design_candidate_comparison.csv; same yield reference used for cross-policy normalization
SYA,2012,ppo_cap_saturated_baseline,reference_300mm_450kgN,6875.87158203125,300.0,450.0,-193.7412841796875,,,0.0,0.0,reference from Leave_One_experiments/budget_action_design_debug/evaluation/budget_action_design_candidate_comparison.csv; same yield reference used for cross-policy normalization
SYA,2014,ppo_cap_saturated_baseline,reference_300mm_450kgN,6875.87158203125,300.0,450.0,-193.7412841796875,,,0.0,0.0,reference from Leave_One_experiments/budget_action_design_debug/evaluation/budget_action_design_candidate_comparison.csv; same yield reference used for cross-policy normalization
SYA,2015,ppo_cap_saturated_baseline,reference_300mm_450kgN,6875.87158203125,300.0,450.0,-193.7412841796875,,,0.0,0.0,reference from Leave_One_experiments/budget_action_design_debug/evaluation/budget_action_design_candidate_comparison.csv; same yield reference used for cross-policy normalization
LCA,2010,ppo_cap_saturated_baseline,reference_300mm_450kgN,6875.87158203125,300.0,450.0,-193.7412841796875,,,0.0,0.0,reference from Leave_One_experiments/budget_action_design_debug/evaluation/budget_action_design_candidate_comparison.csv; same yield reference used for cross-policy normalization
LCA,2011,ppo_cap_saturated_baseline,reference_300mm_450kgN,6875.87158203125,300.0,450.0,-193.7412841796875,,,0.0,0.0,reference from Leave_One_experiments/budget_action_design_debug/evaluation/budget_action_design_candidate_comparison.csv; same yield reference used for cross-policy normalization
LCA,2008,ppo_cap_saturated_baseline,reference_300mm_450kgN,6875.87158203125,300.0,450.0,-193.7412841796875,,,0.0,0.0,reference from Leave_One_experiments/budget_action_design_debug/evaluation/budget_action_design_candidate_comparison.csv; same yield reference used for cross-policy normalization
LCA,2009,ppo_cap_saturated_baseline,reference_300mm_450kgN,6875.87158203125,300.0,450.0,-193.7412841796875,,,0.0,0.0,reference from Leave_One_experiments/budget_action_design_debug/evaluation/budget_action_design_candidate_comparison.csv; same yield reference used for cross-policy normalization
